page,category,matched,similarity,cer,wer,accuracy,gpt_confidence,ref_question,ocr_question,question_type,is_table_item,ocr_only
1,동의 취득,False,0.0,,,,,연구대상자는 본 임상연구 참가에 앞서 서면 동의하였습니까?,,yes_no,False,False
1,동의 취득,False,0.0,,,,,서면 동의일,,date_input,False,False
1,동의,False,0.0,,,,,,연구대상자는 본 임상연구 참가에 앞서 서면 동의하였습니까?,,False,True
1,동의,False,0.0,,,,,,서면 동의일,,False,True
2,선정기준,True,1.0,0.0,0.0,1.0,,19세 이상 성인,19세 이상 성인,yes_no,False,False
2,선정기준,True,1.0,0.0,0.0,1.0,1.0,Cerebrovascular disease 진단 여부,Cerebrovascular disease 진단 여부,yes_no,False,False
2,선정기준,True,1.0,0.0,0.0,1.0,1.0,Cerebrovascular disease 가족력 여부,Cerebrovascular disease 가족력 여부,yes_no,False,False
2,선정기준,False,0.0,,,,,,,yes_no,False,False
2,선정기준,False,0.0,,,,,,,yes_no,False,False
2,제외기준,True,1.0,0.0,0.0,1.0,,정신질환의 병력,정신질환의 병력,yes_no,False,False
2,제외기준,True,1.0,0.0,0.0,1.0,1.0,두부 외상의 병력,두부 외상의 병력,yes_no,False,False
2,제외기준,True,1.0,0.0,0.0,1.0,,암의 병력,암의 병력,yes_no,False,False
2,제외기준,False,0.0,,,,,,,yes_no,False,False
2,제외기준,False,0.0,,,,,,,yes_no,False,False
2,평가,False,0.0,,,,,연구대상자 선정기준 및 제외기준에 대한 평가 결과 이 지원자는 임상연구에 참여할 수 있습니까?,,yes_no,False,False
2,선정기준,False,0.0,,,,,,선정기준 4,,False,True
2,선정기준,False,0.0,,,,,,선정기준 5,,False,True
2,제외기준,False,0.0,,,,,,제외기준 4,,False,True
2,제외기준,False,0.0,,,,,,제외기준 5,,False,True
2,연구대상자 선정기준 및 제외기준에 대한 평가 결과,False,0.0,,,,,,이 지원자는 임상연구에 참여할 수 있습니까?,,False,True
3,인구학적특성,True,1.0,0.0,0.0,1.0,,성별,성별,single_choice,False,False
3,인구학적특성,True,1.0,0.0,0.0,1.0,,생년월일,생년월일,date_input,False,False
3,인구학적특성,True,1.0,0.0,0.0,1.0,,체중,체중,text_input,False,False
3,인구학적특성,True,1.0,0.0,0.0,1.0,,신장,신장,text_input,False,False
3,인구학적특성,True,1.0,0.0,0.0,1.0,1.0,흡연 여부,흡연 여부,single_choice,False,False
3,인구학적특성,True,1.0,0.0,0.0,1.0,,음주 여부,음주 여부,single_choice,False,False
3,인구학적특성,True,1.0,0.0,0.0,1.0,,결혼 상태,결혼 상태,single_choice,False,False
4,인구학적특성,False,0.0,,,,,월 평균 수입,,single_choice,False,False
4,인구학적특성,False,0.0,,,,,학력,,single_choice,False,False
4,기타,False,0.0,,,,,,월 평균 수입,,False,True
4,기타,False,0.0,,,,,,학력,,False,True
5,질병력,True,1.0,0.0,0.0,1.0,,고혈압 진단여부,고혈압 진단여부,single_choice,True,False
5,질병력,True,1.0,0.07142857142857142,0.5,0.6,,고혈압 처음 진단받은 나이,고혈압 처음 진단 받은 나이,text_input,True,False
5,질병력,True,1.0,0.0,0.0,1.0,,고혈압 치료 경과,고혈압 치료 경과,single_choice,True,False
5,질병력,True,1.0,0.0,0.0,1.0,,당뇨병 진단여부,당뇨병 진단여부,single_choice,True,False
5,질병력,True,1.0,0.07142857142857142,0.5,0.6,,당뇨병 처음 진단받은 나이,당뇨병 처음 진단 받은 나이,text_input,True,False
5,질병력,True,1.0,0.0,0.0,1.0,,당뇨병 치료 경과,당뇨병 치료 경과,single_choice,True,False
5,질병력,True,1.0,0.0,0.0,1.0,,고지혈증 진단여부,고지혈증 진단여부,single_choice,True,False
5,질병력,True,1.0,0.06666666666666667,0.5,0.625,,고지혈증 처음 진단받은 나이,고지혈증 처음 진단 받은 나이,text_input,True,False
5,질병력,True,1.0,0.0,0.0,1.0,,고지혈증 치료 경과,고지혈증 치료 경과,single_choice,True,False
5,질병력,True,1.0,0.0,0.0,1.0,,뇌졸중(중풍) 진단여부,뇌졸중(중풍) 진단여부,single_choice,True,False
5,질병력,True,1.0,0.05555555555555555,0.5,0.6842105263157895,0.9,뇌졸중(중풍) 처음 진단받은 나이,뇌졸중(중풍) 처음 진단 받은 나이,text_input,True,False
5,질병력,True,1.0,0.0,0.0,1.0,1.0,뇌졸중(중풍) 치료 경과,뇌졸중(중풍) 치료 경과,single_choice,True,False
6,질병력,False,0.0,,,,,협심증 또는 심근경색증 진단여부,,table_row,True,False
6,질병력,False,0.0,,,,,협심증 또는 심근경색증 진단 시 나이,,text_input,True,False
6,질병력,False,0.0,,,,,협심증 또는 심근경색증 치료 상태,,single_choice,True,False
6,질병력,True,1.0,0.0,0.0,1.0,,폐결핵 진단여부,폐결핵 진단여부,table_row,True,False
6,질병력,False,0.0,,,,,폐결핵 진단 시 나이,,text_input,True,False
6,질병력,False,0.0,,,,,폐결핵 치료 상태,,single_choice,True,False
6,질병력,True,1.0,0.0,0.0,1.0,,갑상선질환 진단여부,갑상선질환 진단여부,table_row,True,False
6,질병력,False,0.0,,,,,갑상선질환 유형,,single_choice,True,False
6,질병력,False,0.0,,,,,갑상선질환 진단 시 나이,,text_input,True,False
6,질병력,False,0.0,,,,,갑상선질환 치료 상태,,single_choice,True,False
6,질병력,True,1.0,0.0,0.0,1.0,,만성위염 진단여부,만성위염 진단여부,table_row,True,False
6,질병력,False,0.0,,,,,만성위염 진단 시 나이,,text_input,True,False
6,질병력,False,0.0,,,,,만성위염 치료 상태,,single_choice,True,False
6,질병력,False,0.0,,,,,,협심증 진단여부,,False,True
6,질병력,False,0.0,,,,,,심근경색증 진단여부,,False,True
7,질병력,True,1.0,0.0,0.0,1.0,,위궤양 진단여부,위궤양 진단여부,single_choice,True,False
7,질병력,False,0.0,,,,,위궤양 진단 당시 나이,,text_input,True,False
7,질병력,True,1.0,0.0,0.0,1.0,,위궤양 치료 상태,위궤양 치료 상태,single_choice,True,False
7,질병력,True,1.0,0.0,0.0,1.0,,십이지장궤양 진단여부,십이지장궤양 진단여부,single_choice,True,False
7,질병력,False,0.0,,,,,십이지장궤양 진단 당시 나이,,text_input,True,False
7,질병력,True,1.0,0.0,0.0,1.0,1.0,십이지장궤양 치료 상태,십이지장궤양 치료 상태,single_choice,True,False
7,질병력,True,1.0,0.0,0.0,1.0,,장 폴립 진단여부,장 폴립 진단여부,single_choice,True,False
7,질병력,False,0.0,,,,,장 폴립 진단 당시 나이,,text_input,True,False
7,질병력,True,1.0,0.0,0.0,1.0,,장 폴립 치료 상태,장 폴립 치료 상태,single_choice,True,False
7,질병력,False,0.0,,,,,급성 간질환 진단여부,,single_choice,True,False
7,질병력,False,0.0,,,,,급성 간질환 진단 당시 나이,,text_input,True,False
7,질병력,True,0.6666666666666666,0.08333333333333333,0.25,0.4166666666666667,,급성 간질환 치료 상태,급성 간질 치료 상태,single_choice,True,False
7,질병력,False,0.0,,,,,,급성 간질 진단여부,,False,True
8,질병력,True,1.0,0.0,0.0,1.0,,지방간 진단여부,지방간 진단여부,single_choice,True,False
8,질병력,False,0.0,,,,,지방간 진단 당시 나이,,text_input,True,False
8,질병력,False,0.0,,,,,지방간 치료 상태,,single_choice,True,False
8,질병력,False,0.0,,,,,"만성간염, 간경변 진단여부",,single_choice,True,False
8,질병력,False,0.0,,,,,"만성간염, 간경변 진단 당시 나이",,text_input,True,False
8,질병력,False,0.0,,,,,"만성간염, 간경변 치료 상태",,single_choice,True,False
8,질병력,True,1.0,0.0,0.0,1.0,,"담석증, 담낭염 진단여부","담석증, 담낭염 진단여부",single_choice,True,False
8,질병력,False,0.0,,,,,"담석증, 담낭염 진단 당시 나이",,text_input,True,False
8,질병력,False,0.0,,,,,"담석증, 담낭염 치료 상태",,single_choice,True,False
8,질병력,True,1.0,0.0,0.0,1.0,,만성기관지염 진단여부,만성기관지염 진단여부,single_choice,True,False
8,질병력,False,0.0,,,,,만성기관지염 진단 당시 나이,,text_input,True,False
8,질병력,False,0.0,,,,,만성기관지염 치료 상태,,single_choice,True,False
8,질병력,True,1.0,0.0,0.0,1.0,1.0,만성 폐쇄성 폐질환 진단여부,만성 폐쇄성 폐질환 진단여부,single_choice,True,False
8,질병력,False,0.0,,,,,만성 폐쇄성 폐질환 진단 당시 나이,,text_input,True,False
8,질병력,False,0.0,,,,,만성 폐쇄성 폐질환 치료 상태,,single_choice,True,False
8,질병력,False,0.0,,,,,,만성간염 진단여부,,False,True
8,질병력,False,0.0,,,,,,간경변 진단여부,,False,True
9,질병력,True,1.0,0.0,0.0,1.0,1.0,천식 진단여부,천식 진단여부,single_choice,True,False
9,질병력,False,0.0,,,,,천식 진단 시 나이,,text_input,True,False
9,질병력,True,1.0,0.0,0.0,1.0,,천식 치료 상태,천식 치료 상태,single_choice,True,False
